Source;Target;weight;Type
u0;m10039;3;Undirected
u0;m10101;5;Undirected
u0;m10183;1;Undirected
u0;m10800;2;Undirected
u0;m1118;5;Undirected
u0;m1283;1;Undirected
u0;m1504;2;Undirected
u0;m1701;3;Undirected
u0;m1737;1;Undirected
u0;m2015;4;Undirected
u0;m2234;14;Undirected
u0;m2483;3;Undirected
u0;m2526;1;Undirected
u0;m2663;3;Undirected
u0;m2815;13;Undirected
u0;m2920;3;Undirected
u0;m2956;2;Undirected
u0;m3501;1;Undirected
u0;m3505;4;Undirected
u0;m3554;1;Undirected
u0;m3864;2;Undirected
u0;m3962;1;Undirected
u0;m397;3;Undirected
u0;m4170;1;Undirected
u0;m4514;4;Undirected
u0;m4693;21;Undirected
u0;m4964;1;Undirected
u0;m4998;33;Undirected
u0;m512;2;Undirected
u0;m5283;17;Undirected
u0;m5384;1;Undirected
u0;m5411;22;Undirected
u0;m5488;1;Undirected
u0;m560;1;Undirected
u0;m5925;4;Undirected
u0;m6105;1;Undirected
u0;m6523;7;Undirected
u0;m6598;26;Undirected
u0;m680;1;Undirected
u0;m7229;1;Undirected
u0;m7274;1;Undirected
u0;m7393;1;Undirected
u0;m7466;21;Undirected
u0;m7702;4;Undirected
u0;m7759;7;Undirected
u0;m7764;23;Undirected
u0;m7874;1;Undirected
u0;m8075;3;Undirected
u0;m8173;1;Undirected
u0;m8611;2;Undirected
u0;m87;2;Undirected
u0;m874;3;Undirected
u0;m8834;30;Undirected
u0;m8959;1;Undirected
u0;m9211;1;Undirected
u0;m9253;1;Undirected
u0;m9339;1;Undirected
u0;m9344;1;Undirected
u0;m9349;3;Undirected
u1;m10255;1;Undirected
u1;m1118;1;Undirected
u1;m1283;1;Undirected
u1;m1308;1;Undirected
u1;m1470;2;Undirected
u1;m1588;9;Undirected
u1;m1666;317;Undirected
u1;m1721;3;Undirected
u1;m1755;2;Undirected
u1;m186;1;Undirected
u1;m1933;27;Undirected
u1;m2040;27;Undirected
u1;m2174;1;Undirected
