Id;m_min;m_max;m_mean;m_std;victim;Cat;Label;victim_n
m0;58.53;150.28;104.4;64.88;No;Institution;m0;0
m1;18.14;18.14;18.14;;No;Institution;m1;0
m10;186.43;186.43;186.43;;No;Institution;m10;0
m100;18.96;18.96;18.96;;No;Institution;m100;0
m1000;4.82;5.26;5.0;0.19;No;Institution;m1000;0
m10000;22.58;65.03;47.29;16.92;No;Institution;m10000;0
m10001;30.23;32.25;31.52;1.12;No;Institution;m10001;0
m10002;6.79;94.68;45.58;34.46;No;Institution;m10002;0
m10003;68.41;121.49;100.93;22.75;No;Institution;m10003;0
m10004;27.34;27.34;27.34;;No;Institution;m10004;0
m10005;9.08;18.51;15.41;3.0;No;Institution;m10005;0
m10006;36.53;44.5;40.52;5.64;No;Institution;m10006;0
m10007;70.36;70.36;70.36;;No;Institution;m10007;0
m10008;194.73;194.73;194.73;;No;Institution;m10008;0
m10009;3.04;140.82;17.32;27.21;No;Institution;m10009;0
m1001;36.1;58.0;47.95;9.19;No;Institution;m1001;0
m10010;39.08;61.08;47.81;11.68;No;Institution;m10010;0
m10011;12.17;12.66;12.42;0.35;No;Institution;m10011;0
m10012;29.27;29.27;29.27;;No;Institution;m10012;0
m10013;17.51;30.82;24.13;6.15;No;Institution;m10013;0
m10014;21.63;32.12;28.34;4.53;No;Institution;m10014;0
m10015;33.04;33.04;33.04;;No;Institution;m10015;0
m10016;2.0;90.98;56.21;33.17;No;Institution;m10016;0
m10017;45.27;109.85;65.42;18.08;No;Institution;m10017;0
m10018;10.16;17.5;12.94;3.98;No;Institution;m10018;0
m10019;33.6;72.76;56.41;10.76;No;Institution;m10019;0
m1002;115.4;251.69;199.42;36.42;No;Institution;m1002;0
m10020;20.07;20.07;20.07;;No;Institution;m10020;0
m10021;2.42;3.33;3.0;0.5;No;Institution;m10021;0
m10022;3.65;54.38;30.15;12.42;No;Institution;m10022;0
m10023;25.78;46.95;36.36;14.97;No;Institution;m10023;0
m10024;4.06;292.64;48.46;96.43;No;Institution;m10024;0
m10025;85.98;178.04;115.56;30.25;No;Institution;m10025;0
m10026;39.62;52.91;44.38;6.06;No;Institution;m10026;0
